,0
0,2009-07-21 00:00:00
1,2009-07-21 00:10:00
2,2009-07-21 00:20:00
3,2009-07-21 00:30:00
4,2009-07-21 00:40:00
5,2009-07-21 01:00:00
6,2009-07-21 01:10:00
7,2009-07-21 01:20:00
8,2009-07-21 01:30:00
9,2009-07-21 01:40:00
10,2009-07-21 02:00:00
11,2009-07-21 02:10:00
12,2009-07-21 02:20:00
13,2009-07-21 02:40:00
14,2009-07-21 03:00:00
15,2009-07-21 03:10:00
16,2009-07-21 03:20:00
17,2009-07-21 03:30:00
18,2009-07-21 03:40:00
19,2009-07-21 04:00:00
20,2009-07-21 04:10:00
21,2009-07-21 04:20:00
22,2009-07-21 04:30:00
23,2009-07-21 04:40:00
24,2009-07-21 05:40:00
25,2009-07-21 06:00:00
26,2009-07-21 06:10:00
27,2009-07-21 06:20:00
28,2009-07-21 06:30:00
29,2009-07-21 06:40:00
30,2009-07-21 07:00:00
31,2009-07-21 07:10:00
32,2009-07-21 07:20:00
33,2009-07-21 07:30:00
34,2009-07-21 07:40:00
35,2009-07-21 08:00:00
36,2009-07-21 08:10:00
37,2009-07-21 08:20:00
38,2009-07-21 08:30:00
39,2009-07-21 08:40:00
40,2009-07-21 09:00:00
41,2009-07-21 09:10:00
42,2009-07-21 09:20:00
43,2009-07-21 09:30:00
44,2009-07-21 09:40:00
45,2009-07-21 10:00:00
46,2009-07-21 10:10:00
47,2009-07-21 10:20:00
48,2009-07-21 10:30:00
49,2009-07-21 10:40:00
50,2009-07-21 11:00:00
51,2009-07-21 11:10:00
52,2009-07-21 11:20:00
53,2009-07-21 11:30:00
54,2009-07-21 11:40:00
55,2009-07-21 12:00:00
56,2009-07-21 12:10:00
57,2009-07-21 12:20:00
58,2009-07-21 12:30:00
59,2009-07-21 12:40:00
60,2009-07-21 13:00:00
61,2009-07-21 13:10:00
62,2009-07-21 13:20:00
63,2009-07-21 13:30:00
64,2009-07-21 13:40:00
65,2009-07-21 14:00:00
66,2009-07-21 14:10:00
67,2009-07-21 14:30:00
68,2009-07-21 14:40:00
69,2009-07-21 15:10:00
70,2009-07-21 15:20:00
71,2009-07-21 15:30:00
72,2009-07-21 15:40:00
73,2009-07-21 16:00:00
74,2009-07-21 16:10:00
75,2009-07-21 20:00:00
76,2009-07-21 20:10:00
77,2009-07-21 20:20:00
78,2009-07-21 20:30:00
79,2009-07-21 20:40:00
80,2009-07-21 21:10:00
81,2009-07-21 21:20:00
82,2009-07-21 21:30:00
83,2009-07-21 21:40:00
84,2009-07-21 22:00:00
85,2009-07-21 22:20:00
86,2009-07-21 22:30:00
87,2009-07-21 22:40:00
88,2009-07-21 23:00:00
89,2009-07-21 23:10:00
90,2009-07-21 23:30:00
91,2009-07-21 23:40:00
92,2009-07-22 00:00:00
93,2009-07-22 00:10:00
94,2009-07-22 00:20:00
95,2009-07-22 00:30:00
96,2009-07-22 00:40:00
97,2009-07-22 01:00:00
98,2009-07-22 01:10:00
99,2009-07-22 01:20:00
100,2009-07-22 01:30:00
101,2009-07-22 01:40:00
102,2009-07-22 02:00:00
103,2009-07-22 02:10:00
104,2009-07-22 02:20:00
105,2009-07-22 02:30:00
106,2009-07-22 02:40:00
107,2009-07-22 03:00:00
108,2009-07-22 03:10:00
109,2009-07-22 03:20:00
110,2009-07-22 03:30:00
111,2009-07-22 03:40:00
112,2009-07-22 04:00:00
113,2009-07-22 04:10:00
114,2009-07-22 04:20:00
115,2009-07-22 04:30:00
116,2009-07-22 04:40:00
117,2009-07-22 05:00:00
118,2009-07-22 05:10:00
119,2009-07-22 05:20:00
120,2009-07-22 05:30:00
121,2009-07-22 05:40:00
122,2009-07-22 06:00:00
123,2009-07-22 06:10:00
124,2009-07-22 06:20:00
125,2009-07-22 06:30:00
126,2009-07-22 06:40:00
127,2009-07-22 07:00:00
128,2009-07-22 07:10:00
129,2009-07-22 07:20:00
130,2009-07-22 07:30:00
131,2009-07-22 07:40:00
132,2009-07-22 08:00:00
133,2009-07-22 08:10:00
134,2009-07-22 08:20:00
135,2009-07-22 08:30:00
136,2009-07-22 08:40:00
137,2009-07-22 09:00:00
138,2009-07-22 09:10:00
139,2009-07-22 09:20:00
140,2009-07-22 09:30:00
141,2009-07-22 09:40:00
142,2009-07-22 10:00:00
143,2009-07-22 10:10:00
144,2009-07-22 10:20:00
145,2009-07-22 10:30:00
146,2009-07-22 10:40:00
147,2009-07-22 11:00:00
148,2009-07-22 11:10:00
149,2009-07-22 11:20:00
150,2009-07-22 11:30:00
151,2009-07-22 11:40:00
152,2009-07-22 11:50:00
153,2009-07-22 12:00:00
154,2009-07-22 12:10:00
155,2009-07-22 12:20:00
156,2009-07-22 12:30:00
157,2009-07-22 12:40:00
158,2009-07-22 12:50:00
159,2009-07-22 13:00:00
160,2009-07-22 13:20:00
161,2009-07-22 13:30:00
162,2009-07-22 13:40:00
163,2009-07-22 13:50:00
164,2009-07-22 14:00:00
